j

DATE:	02/11/2017	TIME:	15:46:29
Initialising game took 20.24 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
	18.33		UP    to DEATH   and LOST GAME 86.67%			54.46		18.36		OH NO! A FROG!

DATE:	02/11/2017	TIME:	15:46:54
Initialising game took 28.80 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
	30.29		UP    to GRASS   and ALIVE     96.67%			33.00		30.30		READY TO SLITHER!? PRESS A KEY...
	32.15		LEFT  to GRASS   and ALIVE     93.33%			31.09		32.16		
	26.02		DOWN  to PELLET  and ALIVE     81.00%			38.38		26.05		PELLET ALERT!
	25.57		LEFT  to GRASS   and ALIVE     77.67%			39.09		25.58		
	28.29		DOWN  to GRASS   and ALIVE     74.33%			35.33		28.30		
	24.80		LEFT  to GRASS   and ALIVE     71.00%			40.32		24.80		
	24.90		DOWN  to GRASS   and ALIVE     67.67%			40.14		24.91		
	47.99		DOWN  to GRASS   and ALIVE     64.33%			20.83		48.02		
	18.60		UP    to SLIME   and ALIVE     64.33%			53.64		18.64		THAT'S SLIME!
	56.77		DOWN  to GRASS   and ALIVE     61.00%			17.61		56.80		
	17.54		UP    to SLIME   and ALIVE     61.00%			56.83		17.60		THAT'S SLIME!
	48.06		DOWN  to GRASS   and ALIVE     57.67%			20.80		48.08		
	26.47		RIGHT to GRASS   and ALIVE     54.33%			37.76		26.48		
	25.43		UP    to GRASS   and ALIVE     51.00%			39.31		25.44		
	28.41		DOWN  to SLIME   and ALIVE     51.00%			35.17		28.44		THAT'S SLIME!
	58.67		UP    to GRASS   and ALIVE     47.67%			17.04		58.69		
	20.89		RIGHT to GRASS   and ALIVE     44.33%			47.86		20.89		
	18.21		DOWN  to GRASS   and ALIVE     41.00%			54.90		18.22		
	76.34		UP    to SLIME   and ALIVE     41.00%			13.06		76.56		THAT'S SLIME!
	73.43		DOWN  to GRASS   and ALIVE     37.67%			13.61		73.46		
	16.53		UP    to SLIME   and ALIVE     37.67%			60.41		16.55		THAT'S SLIME!
	38.17		DOWN  to GRASS   and ALIVE     34.33%			26.18		38.19		
	16.69		UP    to SLIME   and ALIVE     34.33%			59.73		16.74		THAT'S SLIME!
	19.58		RIGHT to GRASS   and ALIVE     31.00%			51.05		19.59		
	55.62		LEFT  to SLIME   and FROG GONE 31.00%			17.91		55.83		EAGLE GOT A FROG
	17.27		LEFT  to SLIME   and ALIVE     31.00%			57.33		17.44		THAT'S SLIME!
	16.00		DOWN  to GRASS   and ALIVE     27.67%			62.50		16.00		
	16.10		UP    to SLIME   and ALIVE     27.67%			62.04		16.12		THAT'S SLIME!
	15.96		DOWN  to GRASS   and ALIVE     24.33%			62.63		15.97		
	34.74		RIGHT to GRASS   and LOST GAME 21.00%			28.53		35.05		FROG GOT YOU!

DATE:	02/11/2017	TIME:	15:46:58
Initialising game took 15.40 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
	35.10		LEFT  to GRASS   and ALIVE     96.67%			28.48		35.12		READY TO SLITHER!? PRESS A KEY...
	32.98		RIGHT to SLIME   and ALIVE     96.67%			30.28		33.02		THAT'S SLIME!
	30.31		UP    to GRASS   and ALIVE     93.33%			32.99		30.32		
	21.37		DOWN  to SLIME   and ALIVE     93.33%			46.74		21.40		THAT'S SLIME!
	21.10		RIGHT to GRASS   and LOST GAME 90.00%			47.29		21.15		FROG GOT YOU!

DATE:	02/11/2017	TIME:	15:46:59
Initialising game took 19.10 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
	16.40		RIGHT to GRASS   and ALIVE     96.67%			60.94		16.41		READY TO SLITHER!? PRESS A KEY...
	14.38		LEFT  to SLIME   and ALIVE     96.67%			69.44		14.40		THAT'S SLIME!
	14.14		RIGHT to GRASS   and ALIVE     93.33%			70.72		14.14		
	15.19		DOWN  to GRASS   and FROG GONE 90.00%			65.74		15.21		EAGLE GOT A FROG
	15.65		LEFT  to GRASS   and ALIVE     86.67%			63.86		15.66		
	14.38		LEFT  to GRASS   and LOST GAME 83.33%			69.41		14.41		FROG GOT YOU!

DATE:	02/11/2017	TIME:	15:47:00
Initialising game took 19.10 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
	21.50		UP    to GRASS   and ALIVE     96.67%			46.48		21.51		READY TO SLITHER!? PRESS A KEY...
	20.05		UP    to GRASS   and ALIVE     93.33%			49.85		20.06		
	19.92		RIGHT to GRASS   and ALIVE     90.00%			50.19		19.93		
	19.48		DOWN  to GRASS   and ALIVE     86.67%			51.32		19.49		
	22.18		UP    to SLIME   and ALIVE     86.67%			45.03		22.21		THAT'S SLIME!
	20.82		DOWN  to GRASS   and ALIVE     83.33%			48.01		20.83		
	69.89		UP    to SLIME   and ALIVE     83.33%			14.28		70.05		THAT'S SLIME!
	27.71		DOWN  to GRASS   and ALIVE     80.00%			36.07		27.72		
	57.61		UP    to SLIME   and ALIVE     80.00%			17.29		57.84		THAT'S SLIME!
	44.10		RIGHT to GRASS   and ALIVE     76.67%			22.67		44.12		
	28.13		LEFT  to SLIME   and ALIVE     76.67%			35.48		28.19		THAT'S SLIME!
	34.93		UP    to GRASS   and FROG GONE 73.33%			28.52		35.07		EAGLE GOT A FROG
	18.07		DOWN  to SLIME   and ALIVE     73.33%			55.26		18.10		THAT'S SLIME!
	14.21		RIGHT to GRASS   and ALIVE     70.00%			70.36		14.21		
	31.55		UP    to GRASS   and FROG GONE 66.67%			31.50		31.74		EAGLE GOT A FROG
	28.72		DOWN  to SLIME   and ALIVE     66.67%			34.78		28.76		THAT'S SLIME!
	35.33		LEFT  to GRASS   and ALIVE     63.33%			28.30		35.34		
	17.41		RIGHT to SLIME   and ALIVE     63.33%			57.37		17.43		THAT'S SLIME!
	26.52		UP    to GRASS   and ALIVE     60.00%			37.68		26.54		
	19.91		UP    to PELLET  and ALIVE     51.00%			50.16		19.94		PELLET ALERT!
	14.63		DOWN  to SLIME   and ALIVE     51.00%			68.29		14.64		THAT'S SLIME!
	14.24		RIGHT to GRASS   and ALIVE     47.67%			70.22		14.24		
	14.30		DOWN  to GRASS   and ALIVE     44.33%			69.92		14.30		
	28.86		RIGHT to GRASS   and ALIVE     41.00%			34.63		28.87		
	25.43		LEFT  to SLIME   and ALIVE     41.00%			39.26		25.47		THAT'S SLIME!
	16.25		LEFT  to SLIME   and ALIVE     41.00%			61.45		16.27		THAT'S SLIME!
	44.88		DOWN  to GRASS   and ALIVE     37.67%			22.27		44.90		
	33.44		LEFT  to SLIME   and ALIVE     37.67%			29.87		33.48		THAT'S SLIME!
	31.90		DOWN  to GRASS   and ALIVE     34.33%			31.33		31.91		
	49.79		LEFT  to SLIME   and ALIVE     34.33%			19.99		50.02		THAT'S SLIME!
	29.20		DOWN  to GRASS   and ALIVE     31.00%			34.23		29.21		
	73.05		UP    to SLIME   and ALIVE     31.00%			13.65		73.27		THAT'S SLIME!
	23.87		DOWN  to GRASS   and ALIVE     27.67%			41.87		23.88		
	78.38		RIGHT to GRASS   and ALIVE     24.33%			12.76		78.40		
	53.73		RIGHT to GRASS   and ALIVE     21.00%			18.61		53.74		
	42.96		UP    to GRASS   and ALIVE     17.67%			23.26		42.98		
	15.32		UP    to GRASS   and ALIVE     14.33%			65.23		15.33		
	15.14		DOWN  to SLIME   and ALIVE     14.33%			65.35		15.30		THAT'S SLIME!
	34.60		LEFT  to GRASS   and ALIVE     11.00%			28.89		34.61		
	14.74		DOWN  to GRASS   and ALIVE     7.67%			67.80		14.75		
	52.83		UP    to SLIME   and ALIVE     7.67%			18.85		53.05		THAT'S SLIME!
	68.90		RIGHT to SLIME   and ALIVE     7.67%			14.48		69.06		THAT'S SLIME!
	59.16		DOWN  to SLIME   and ALIVE     7.67%			16.84		59.38		THAT'S SLIME!
	35.12		UP    to SLIME   and ALIVE     7.67%			28.44		35.16		THAT'S SLIME!
	17.18		RIGHT to SLIME   and ALIVE     7.67%			58.15		17.20		THAT'S SLIME!
	29.25		UP    to SLIME   and ALIVE     7.67%			34.06		29.36		THAT'S SLIME!
	29.90		UP    to SLIME   and ALIVE     7.67%			33.41		29.93		THAT'S SLIME!
	28.52		UP    to SLIME   and ALIVE     7.67%			34.91		28.64		THAT'S SLIME!
	37.05		UP    to SLIME   and ALIVE     7.67%			26.89		37.20		THAT'S SLIME!
